Street,CentralAir,LowQualFinSF,PoolArea,NewHouse?,MoSold,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Alley_Grvl,Alley_No alley access,Alley_Pave,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_SBrkr,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,GarageCond_Ex,GarageCond_Fa,GarageCond_Gd,GarageCond_No Garage,GarageCond_Po,GarageCond_TA,PavedDrive_N,PavedDrive_P,PavedDrive_Y,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_No Fence,MiscFeature_Gar2,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,MSSubClass_mean_target,LotFrontage,LotArea,Neighborhood_mean_target,Condition1_mean_target,Condition2_mean_target,AgeBuilt,AgeRemodAdd,RoofMatl_mean_target,Exterior2nd_mean_target,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,GrLivArea,Bath,TotRmsAbvGrd,Fireplaces,GarageType_mean_target,GarageAgeBlt,GarageArea,FiveArea,LandSlope,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,FireplaceQu,GarageFinish,GarageQual
1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.497623122637004,-0.27409344834483207,-0.26679938267899245,0.8220301190515519,1.0,0.0,-1.0604355200228732,-0.7680632366871666,1.0,1.0864838477475462,1.490345981499877,0.7843486655321606,0.0,-0.9719544689440172,0.524793076134235,-0.4136952259466531,1.094987462674805,-1.0175416050065011,0.46823293801084537,-1.0392758924908847,0.4213097218147246,-0.8026977183251799,0.22571613264140375,0.6514792433257054,-0.5171998069472914,1.052302192339342,-0.2381123611523445,0.5831678337791156,0.11788424330394175,-0.5905546548144746,1.164711511770584,-0.2771893128259568,0.891179439754874,0.7359943387625092,-1.0083335457279203,0.31847458316549465,0.26254202292023265
1,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.10919004794612744,0.8096123683642886,0.10185377294121689,1.9333305059003179,1.0,0.0,-0.1450618760501651,0.7103779458940451,1.0,-1.0024492819910624,-0.7025015493767599,0.8934561723088599,0.0,-0.6378151514199498,-0.48200773585469114,0.820091053580735,-0.27845042006163395,0.7568077963779101,0.46823293801084537,0.46628488730309275,-0.020480238182955888,0.9536429175306621,0.22571613264140375,-0.07183611428306244,2.179627757849301,-0.6896039310341726,-0.2381123611523445,0.5831678337791156,0.11788424330394175,2.2209990278892193,0.6901151380097543,-0.2771893128259568,0.891179439754874,-0.7710908429952241,0.6488900678886992,0.31847458316549465,0.26254202292023265
1,1,0,0,0,9,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.497623122637004,-0.057352285003007916,0.630790909265865,0.8220301190515519,1.0,0.0,-0.9926300649137838,-0.6500779251605964,1.0,1.0864838477475462,1.4117113646517594,0.659397802045372,0.0,-0.2637786019527104,0.695589642453785,-0.4136952259466531,-0.27845042006163395,0.7568077963779101,0.46823293801084537,-0.8116488886031554,0.7225301490858704,-0.9435013979929477,0.22571613264140375,0.6514792433257054,-0.5171998069472914,1.052302192339342,-0.2381123611523445,0.5831678337791156,0.11788424330394175,0.3466299060867567,1.164711511770584,-0.2771893128259568,0.891179439754874,0.7359943387625092,0.6488900678886992,0.31847458316549465,0.26254202292023265
1,1,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.358978588670198,-0.6353287205812056,0.085825374870773,1.1667727933005312,1.0,0.0,1.9230045047770645,0.8688736786812581,1.0,-0.6299158207713136,-0.7025015493767599,0.3884343054133293,0.0,0.0005405596708054655,0.5405243388215619,-0.4136952259466531,0.40826852130658553,0.7568077963779101,-1.4904818315517092,-0.5440131397938659,0.8932217245395198,1.020339397373289,0.22571613264140375,0.6514792433257054,-0.5171998069472914,-0.6896039310341726,-0.2381123611523445,-0.5581525915794754,1.9295789298697852,-0.5905546548144746,0.6901151380097543,-0.2771893128259568,-0.15138625098400096,0.7359943387625092,1.201297939094239,-0.8019420226697399,0.26254202292023265
1,1,0,0,0,12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.497623122637004,1.0986005861533874,1.5957004731065867,0.5113009338930742,1.0,0.0,-0.958727337359239,-0.4490626058795794,1.0,1.0864838477475462,1.7300774801267786,0.7592523795196284,0.0,-0.12413829015160768,1.6214868177650295,-0.4136952259466531,1.7817064040430244,0.7568077963779101,0.46823293801084537,-0.7144237143102623,1.8671677727162244,0.7906070779153519,0.22571613264140375,1.3747946009344731,-0.5171998069472914,1.052302192339342,-0.2381123611523445,0.5831678337791156,0.11788424330394175,1.2838144669879878,1.164711511770584,-0.2771893128259568,0.891179439754874,0.7359943387625092,0.6488900678886992,0.31847458316549465,0.26254202292023265
1,1,0,0,0,10,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.9544383036257832,1.1708476406006623,1.5492181187022995,-0.3134722521009672,1.0,0.0,-0.7214082444774258,-0.07372567290833347,1.0,1.0864838477475462,-0.7025015493767599,0.7964543789305558,0.0,-1.1864020906385677,-0.2572754117500201,0.820091053580735,-0.9651693614298534,-1.0175416050065011,0.46823293801084537,-0.21205227615868194,0.07992657090742604,1.6354291559219594,0.22571613264140375,-0.7951514718918303,-0.5171998069472914,-0.6896039310341726,-0.2381123611523445,0.5831678337791156,0.11788424330394175,-0.5905546548144746,1.164711511770584,-0.2771893128259568,0.891179439754874,-0.7710908429952241,-1.0083335457279203,-0.8019420226697399,0.26254202292023265
1,1,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.10919004794612744,0.4483770961279151,0.2570086662631137,1.5686004177243664,1.0,0.0,-1.094338247577418,-1.056239362813298,1.0,1.0864838477475462,1.4687233745875465,1.0060944610402605,0.0,-0.5555271105371572,0.48883590427748763,1.8888453418585356,0.40826852130658553,0.7568077963779101,0.46823293801084537,-1.17549022917712,0.8630996818124052,1.0573929972858596,0.22571613264140375,1.3747946009344731,-0.5171998069472914,1.052302192339342,-0.2381123611523445,1.7244882591377069,0.11788424330394175,1.2838144669879878,1.164711511770584,-0.2771893128259568,0.891179439754874,0.7359943387625092,1.201297939094239,0.31847458316549465,0.26254202292023265
1,1,0,0,0,11,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.497623122637004,0.014894769444266796,0.3525379187629592,0.5792277218758232,1.0,0.0,-0.04335369338653087,0.7927572765486626,1.0,-0.42523438684697273,1.574019294887129,0.850014670068061,0.0,-0.8073783871784318,1.3787759077319848,-0.4136952259466531,0.40826852130658553,1.7947356593648223,0.46823293801084537,0.5501753326995967,0.10000793272550243,-0.039393560126227425,0.22571613264140375,0.6514792433257054,0.38174271465157283,-0.6896039310341726,-0.2381123611523445,0.5831678337791156,0.11788424330394175,0.3466299060867567,0.6901151380097543,3.085938637804767,0.891179439754874,-0.7710908429952241,0.6488900678886992,0.31847458316549465,0.26254202292023265
1,1,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.9544383036257832,-1.2855522106066781,-1.0137227327616773,-1.0772200461532275,1.0,0.0,1.3805608639043485,1.2668577863519115,1.0,-0.6299158207713136,-0.7025015493767599,-1.4149003359432033,0.0,1.02789428220749,0.6686217635612245,-0.4136952259466531,1.094987462674805,1.7947356593648223,-1.4904818315517092,1.3095732802855702,0.019682485453196886,0.9314107575831199,0.22571613264140375,0.6514792433257054,-0.5171998069472914,-0.6896039310341726,-0.2381123611523445,-0.5581525915794754,0.11788424330394175,-0.5905546548144746,-1.2082703570335642,-0.2771893128259568,-0.15138625098400096,-0.7710908429952241,0.6488900678886992,-0.8019420226697399,-1.1212534769481415
1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1.3017677212401948,-1.3577992650539528,-0.5969843829301364,-1.169574317680444,1.0,0.0,1.1093390434679906,1.2668577863519115,1.0,-1.0024492819910624,-0.7025015493767599,0.8468819490615777,0.0,-0.9968902389084997,-0.8977625354483325,-0.4136952259466531,-0.9651693614298534,1.7947356593648223,0.46823293801084537,1.2020958364338024,-1.3006670540853256,-1.2251087573284836,0.22571613264140375,-0.7951514718918303,0.38174271465157283,-0.6896039310341726,-0.2381123611523445,-0.5581525915794754,0.11788424330394175,-0.5905546548144746,1.164711511770584,-0.2771893128259568,0.891179439754874,-0.7710908429952241,0.6488900678886992,0.31847458316549465,1.6463375227886066
